-0.015 0
0.015 5.90352e-06
0.045 1.23463e-05
0.075 1.93463e-05
0.105 2.69405e-05
0.135 3.51766e-05
0.165 4.41071e-05
0.195 5.37852e-05
0.225 6.42645e-05
0.255 7.55997e-05
0.285 8.78479e-05
0.315 0.000101069
0.345 0.000115329
0.375 0.000130695
0.405 0.000147239
0.435 0.000165036
0.465 0.000184167
0.495 0.000204714
0.525 0.000226764
0.555 0.000250407
0.585 0.000275738
0.615 0.000302857
0.645 0.000331866
0.675 0.000362874
0.705 0.000395992
0.735 0.000431337
0.765 0.00046903
0.795 0.000509195
0.825 0.000551963
0.855 0.000597468
0.885 0.000645849
0.915 0.00069725
0.945 0.000751817
0.975 0.000809704
1.005 0.000871067
1.035 0.000936066
1.065 0.00100487
1.095 0.00107764
1.125 0.00115455
1.155 0.00123579
1.185 0.00132152
1.215 0.00141194
1.245 0.00150723
1.275 0.00160758
1.305 0.00171319
1.335 0.00182425
1.365 0.00194095
1.395 0.0020635
1.425 0.00219209
1.455 0.00232693
1.485 0.00246823
1.515 0.00261618
1.545 0.00277099
1.575 0.00293287
1.605 0.003102
1.635 0.00327861
1.665 0.00346288
1.695 0.00365502
1.725 0.00385522
1.755 0.00406367
1.785 0.00428056
1.815 0.00450607
1.845 0.00474039
1.875 0.00498368
1.905 0.00523612
1.935 0.00549788
1.965 0.0057691
1.995 0.00604993
2.025 0.00634052
2.055 0.006641
2.085 0.00695149
2.115 0.00727211
2.145 0.00760296
2.175 0.00794413
2.205 0.00829571
2.235 0.00865778
2.265 0.00903038
2.295 0.00941359
2.325 0.00980742
2.355 0.0102119
2.385 0.010627
2.415 0.0110529
2.445 0.0114893
2.475 0.0119364
2.505 0.0123941
2.535 0.0128622
2.565 0.0133409
2.595 0.0138299
2.625 0.0143291
2.655 0.0148385
2.685 0.015358
2.715 0.0158873
2.745 0.0164264
2.775 0.0169751
2.805 0.0175331
2.835 0.0181003
2.865 0.0186765
2.895 0.0192615
2.925 0.019855
2.955 0.0204569
2.985 0.0210668
3.015 0.0216844
3.045 0.0223096
3.075 0.022942
3.105 0.0235814
3.135 0.0242274
3.165 0.0248797
3.195 0.0255381
3.225 0.0262022
3.255 0.0268717
3.285 0.0275462
3.315 0.0282255
3.345 0.0289091
3.375 0.0295969
3.405 0.0302883
3.435 0.0309832
3.465 0.0316811
3.495 0.0323817
3.525 0.0330848
3.555 0.0337899
3.585 0.0344967
3.615 0.0352049
3.645 0.0359142
3.675 0.0366243
3.705 0.0373349
3.735 0.0380457
3.765 0.0387563
3.795 0.0394666
3.825 0.0401761
3.855 0.0408848
3.885 0.0415923
3.915 0.0422983
3.945 0.0430027
3.975 0.0437052
4.005 0.0444056
4.035 0.0451037
4.065 0.0457994
4.095 0.0464924
4.125 0.0471826
4.155 0.0478698
4.185 0.048554
4.215 0.0492349
4.245 0.0499126
4.275 0.0505868
4.305 0.0512575
4.335 0.0519246
4.365 0.0525882
4.395 0.053248
4.425 0.0539042
4.455 0.0545566
4.485 0.0552054
4.515 0.0558504
4.545 0.0564917
4.575 0.0571294
4.605 0.0577634
4.635 0.0583939
4.665 0.0590208
4.695 0.0596443
4.725 0.0602644
4.755 0.0608813
4.785 0.061495
4.815 0.0621056
4.845 0.0627132
4.875 0.063318
4.905 0.0639201
4.935 0.0645195
4.965 0.0651166
4.995 0.0657113
5.025 0.0663039
5.055 0.0668944
5.085 0.0674832
5.115 0.0680703
5.145 0.0686559
5.175 0.0692402
5.205 0.0698232
5.235 0.0704053
5.265 0.0709866
5.295 0.0715672
5.325 0.0721473
5.355 0.0727271
5.385 0.0733068
5.415 0.0738866
5.445 0.0744666
5.475 0.075047
5.505 0.075628
5.535 0.0762098
5.565 0.0767925
5.595 0.0773764
5.625 0.0779615
5.655 0.0785481
5.685 0.0791363
5.715 0.0797263
5.745 0.0803182
5.775 0.0809124
5.805 0.0815087
5.835 0.0821075
5.865 0.0827089
5.895 0.083313
5.925 0.08392
5.955 0.0845301
5.985 0.0851433
6.015 0.0857599
6.045 0.0863798
6.075 0.0870034
6.105 0.0876307
6.135 0.0882619
6.165 0.088897
6.195 0.0895363
6.225 0.0901798
6.255 0.0908276
6.285 0.0914799
6.315 0.0921369
6.345 0.0927986
6.375 0.0934651
6.405 0.0941366
6.435 0.0948131
6.465 0.0954947
6.495 0.0961817
6.525 0.096874
6.555 0.0975718
6.585 0.0982751
6.615 0.0989842
6.645 0.099699
6.675 0.10042
6.705 0.101146
6.735 0.101879
6.765 0.102618
6.795 0.103364
6.825 0.104115
6.855 0.104873
6.885 0.105638
6.915 0.106409
6.945 0.107187
6.975 0.107972
7.005 0.108764
7.035 0.109563
7.065 0.110369
7.095 0.111182
7.125 0.112002
7.155 0.11283
7.185 0.113666
7.215 0.114509
7.245 0.115359
7.275 0.116218
7.305 0.117084
7.335 0.117958
7.365 0.118841
7.395 0.119731
7.425 0.12063
7.455 0.121537
7.485 0.122453
7.515 0.123377
7.545 0.12431
7.575 0.125251
7.605 0.126202
7.635 0.127162
7.665 0.12813
7.695 0.129108
7.725 0.130095
7.755 0.131091
7.785 0.132097
7.815 0.133113
7.845 0.134138
7.875 0.135174
7.905 0.136219
7.935 0.137274
7.965 0.13834
7.995 0.139416
8.025 0.140502
8.055 0.1416
8.085 0.142707
8.115 0.143826
8.145 0.144956
8.175 0.146097
8.205 0.147249
8.235 0.148412
8.265 0.149587
8.295 0.150774
8.325 0.151972
8.355 0.153183
8.385 0.154405
8.415 0.15564
8.445 0.156887
8.475 0.158147
8.505 0.159419
8.535 0.160704
